date,close,open,high,low,volume,perct_change
2023-12-29,319.9,319.9,319.9,319.9,313360.0,0.0
2023-12-28,319.9,313.0,319.9,319.9,555310.0,2.2
2023-12-27,313.0,320.0,313.0,313.0,577500.0,-2.19
2023-12-22,320.0,320.0,320.0,320.0,1500000.0,0.0
2023-12-21,320.0,320.0,320.0,320.0,375300.0,0.0
2023-12-20,320.0,320.0,320.0,320.0,619810.0,0.0
2023-12-19,320.0,320.0,320.0,320.0,568240.0,0.0
2023-12-18,320.0,320.0,320.0,320.0,198560.0,0.0
2023-12-15,320.0,320.0,320.0,320.0,141770.0,0.0
2023-12-14,320.0,320.0,320.0,320.0,60770.0,0.0
2023-12-13,320.0,320.0,320.0,320.0,152940.0,0.0
2023-12-12,320.0,320.0,320.0,320.0,89230.0,0.0
2023-12-11,320.0,320.0,320.0,320.0,182910.0,0.0
2023-12-08,320.0,320.0,320.0,320.0,48140.0,0.0
2023-12-07,320.0,320.0,320.0,320.0,31200.0,0.0
2023-12-06,320.0,320.0,320.0,320.0,220790.0,0.0
2023-12-05,320.0,320.0,320.0,320.0,40630.0,0.0
2023-12-04,320.0,320.0,320.0,320.0,43350.0,0.0
2023-12-01,320.0,320.0,320.0,320.0,4000000.0,0.0
2023-11-30,320.0,320.0,320.0,320.0,216640.0,0.0
2023-11-29,320.0,320.0,320.0,320.0,242340.0,0.0
2023-11-28,320.0,328.0,320.0,320.0,216760.0,-2.44
2023-11-27,328.0,328.0,328.0,328.0,72010.0,0.0
2023-11-24,328.0,328.0,328.0,328.0,18124.000000000007,0.0
2023-11-23,328.0,328.0,328.0,328.0,18124.000000000007,0.0
2023-11-22,328.0,328.0,328.0,328.0,90310.0,0.0
2023-11-21,328.0,328.0,328.0,328.0,38900.0,0.0
2023-11-20,328.0,328.0,328.0,328.0,99940.0,0.0
2023-11-17,328.0,328.0,328.0,328.0,99460.0,0.0
2023-11-16,328.0,328.0,328.0,328.0,57120.0,0.0
2023-11-15,328.0,328.0,328.0,328.0,79160.0,0.0
2023-11-14,328.0,328.0,328.0,328.0,255470.0,0.0
2023-11-13,328.0,328.0,328.0,328.0,137690.0,0.0
2023-11-10,328.0,328.0,328.0,328.0,81750.0,0.0
2023-11-09,328.0,328.0,328.0,328.0,92250.0,0.0
2023-11-08,328.0,328.0,328.0,328.0,59310.0,0.0
2023-11-07,328.0,328.0,328.0,328.0,138600.0,0.0
2023-11-06,328.0,328.0,328.0,328.0,85060.0,0.0
2023-11-03,328.0,328.0,328.0,328.0,228840.0,0.0
2023-11-02,328.0,328.0,328.0,328.0,328910.0,0.0
2023-11-01,328.0,328.0,328.0,328.0,329500.0,0.0
2023-10-31,328.0,328.0,328.0,328.0,409090.0,0.0
2023-10-30,328.0,310.1,328.0,328.0,214170.0,5.77
2023-10-27,310.1,310.1,310.1,310.1,148800.0,0.0
2023-10-26,310.1,310.1,310.1,310.1,246660.0,0.0
2023-10-25,310.1,310.1,310.1,310.1,276370.0,0.0
2023-10-24,310.1,310.1,310.1,310.1,568120.0,0.0
2023-10-23,310.1,310.1,310.1,310.1,44770.0,0.0
2023-10-20,310.1,310.1,310.1,310.1,18124.000000000007,0.0
2023-10-19,310.1,310.1,310.1,310.1,155870.0,0.0
2023-10-18,310.1,310.1,310.1,310.1,117820.0,0.0
2023-10-17,310.1,310.1,310.1,310.1,168190.0,0.0
2023-10-16,310.1,310.1,310.1,310.1,1070000.0,0.0
2023-10-13,310.1,310.1,310.1,310.1,170620.0,0.0
2023-10-12,310.1,310.1,310.1,310.1,331360.0,0.0
2023-10-11,310.1,310.1,310.1,310.1,159290.0,0.0
2023-10-10,310.1,310.1,310.1,310.1,196700.0,0.0
2023-10-09,310.1,310.1,310.1,310.1,78520.0,0.0
2023-10-06,310.1,340.0,310.1,310.1,907810.0,-8.79
2023-10-05,340.0,340.0,340.0,340.0,299310.0,0.0
2023-10-04,340.0,340.0,340.0,340.0,316140.0,0.0
2023-10-03,340.0,340.0,340.0,340.0,81960.0,0.0
2023-09-29,340.0,334.0,340.0,340.0,633750.0,1.8
2023-09-28,334.0,334.0,334.0,334.0,134650.0,0.0
2023-09-26,334.0,334.0,334.0,334.0,18124.000000000007,0.0
2023-09-25,334.0,334.0,334.0,334.0,138390.0,0.0
2023-09-22,334.0,365.0,335.0,334.0,680280.0,-8.49
2023-09-21,365.0,365.0,365.0,365.0,535410.0,0.0
2023-09-20,365.0,365.0,365.0,365.0,32290.0,0.0
2023-09-19,365.0,365.0,365.0,365.0,931960.0,0.0
2023-09-18,365.0,365.0,365.0,365.0,92360.0,0.0
2023-09-15,365.0,365.0,365.0,365.0,1380000.0,0.0
2023-09-14,365.0,365.0,365.0,365.0,1060000.0,0.0
2023-09-13,365.0,365.0,365.0,365.0,57410.0,0.0
2023-09-12,365.0,365.0,365.0,365.0,337730.0,0.0
2023-09-11,365.0,365.0,365.0,365.0,137470.0,0.0
2023-09-08,365.0,365.0,365.0,365.0,49650.0,0.0
2023-09-07,365.0,370.0,365.0,365.0,816820.0,-1.35
2023-09-06,370.0,369.8,370.0,350.0,1990000.0,0.05
2023-09-05,369.8,369.8,369.8,369.8,574740.0,0.0
2023-09-04,369.8,369.8,369.8,369.8,165510.0,0.0
2023-09-01,369.8,360.0,380.0,324.0,4000000.0,2.72
2023-08-31,360.0,360.0,360.0,360.0,19690.0,0.0
2023-08-30,360.0,360.0,360.0,360.0,18124.000000000007,0.0
2023-08-29,360.0,360.0,360.0,360.0,18124.000000000007,0.0
2023-08-28,360.0,360.0,360.0,360.0,221230.0,0.0
2023-08-25,360.0,360.0,360.0,360.0,64200.0,0.0
2023-08-24,360.0,360.0,360.0,360.0,96930.0,0.0
2023-08-23,360.0,360.0,360.0,360.0,62600.0,0.0
2023-08-22,360.0,360.0,360.0,360.0,51610.0,0.0
